Job,Start,Finish,Past
Job1,18,22,8
Job2,22,26,10
Job3,10,11,1
Job4,41,51,31
Job5,3,4,0
Job6,11,14,0
Job7,31,41,19
Job8,26,31,7
Job9,14,18,2
Job10,4,10,0
